已连接 state=RUNNING
机型=2  风机类型=4  (变频+定速)
TL=30.0C  TLD=15.0C  TL+TLD=45.0C  TL+TLD/2=37.5C
变频最高频=50 Hz  最低频=10 Hz  加减载=1.0 Hz/s
最短运行=30s  最短停止=30s  冷凝保持=60s

=== 采样 ===
  t(s) | 环温 翅片M|m | Fan1 Fan2 Stg IIStg PendS PndCnt IIHi Dead LowOff | VfdOn FixOn VfdHz Load Unld Full | ChgSec | Y02 Y03 Y07
    0   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0      48    1    0    0
    5   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0      53    1    0    0
   10   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0      58    1    0    0
   16   20.0   18.0| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0      64    1    0    0
   21   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0      69    1    0    0
   26   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0      74    1    0    0
   31   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0      79    1    0    0
   36   20.0   18.0| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0      84    1    0    0
   41   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0      89    1    0    0
   47   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0      95    1    0    0
   52   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0     100    1    0    0
   57   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0     105    1    0    0
   62   20.0   18.0| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0     110    1    0    0
   67   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0     115    1    0    0
   73   20.0   18.0| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0     120    1    0    0
   78   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0     126    1    0    0
   83   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0     131    1    0    0
   88   20.0   18.0| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0     136    1    0    0
   93   20.0   18.0| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0     141    1    0    0
   98   20.0   18.0| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0     146    1    0    0
  104   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0     151    1    0    0
  109   20.0   18.0| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0     157    1    0    0
  114   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0     162    1    0    0
  119   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0     167    1    0    0
  124   20.0   18.0| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0     172    1    0    0
  129   20.0   18.0| 18.0     1     0    1      1      1       0     0     0       0      1      0   10.0     0     0     0     177    1    0    0
  130   20.0   18.0| 18.0     1     0    1      1      1       0     0     0       0      1      0   11.0     1     0     0     178    1    0    0
  131   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   12.0     1     0     0     179    1    0    0
  132   20.0   18.0| 18.0     1     0    1      1      1       0     0     0       0      1      0   13.0     1     0     0     180    1    0    0
  133   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   14.0     1     0     0     181    1    0    0
  134   20.0   18.0| 18.0     1     0    1      1      1       0     0     0       0      1      0   15.0     1     0     0     182    1    0    0
  135   20.0   18.0| 18.0     1     0    1      1      1       0     0     0       0      1      0   16.0     1     0     0     183    1    0    0
  136   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   17.0     1     0     0     184    1    0    0
  137   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   18.0     1     0     0     185    1    0    0
  138   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   19.0     1     0     0     186    1    0    0
  139   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   20.0     1     0     0     187    1    0    0
  140   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   21.0     1     0     0     188    1    0    0
  141   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   22.0     1     0     0     189    1    0    0
  142   20.0   18.0| 18.0     1     0    1      1      1       0     0     0       0      1      0   23.0     1     0     0     190    1    0    0
  143   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   24.0     1     0     0     191    1    0    0
  144   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   25.0     1     0     0     192    1    0    0
  145   20.0   18.0| 18.0     1     0    1      1      1       0     0     0       0      1      0   26.0     1     0     0     193    1    0    0
  146   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   27.0     1     0     0     194    1    0    0
  147   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   28.0     1     0     0     195    1    0    0
  148   20.0   18.0| 18.0     1     0    1      1      1       0     0     0       0      1      0   29.0     1     0     0     196    1    0    0
  149   20.0   18.0| 18.0     1     0    1      1      1       0     0     0       0      1      0   30.0     1     0     0     197    1    0    0
  150   20.0   18.1| 18.0     1     0    1      1      1       0     0     0       0      1      0   31.0     1     0     0     198    1    0    0
结束 state=RUNNING
