已连接 state=RUNNING

=== 10Hz 采样（外机1）===
  t(s)  Fan1 Fan2 Stg IIHi Dead TwoF LastPh  ChgSec    Cmd0   Cmd1   Run0  Run1   Stop0  Stop1
   0.00    0    1   4    1    0    0  0, 1     12  49827  49532      0     58     13      0
   0.44    0    1   4    1    0    0  0, 1     13  49827  49533      0     59     14      0
   1.42    0    1   4    1    0    0  0, 1     14  49827  49534      0     60     15      0
   2.51    0    1   4    1    0    0  0, 1     15  49827  49535      0     61     16      0
   3.49    0    1   4    1    0    0  0, 1     16  49827  49536      0     62     17      0
   4.47    0    1   4    1    0    0  0, 1     17  49827  49537      0     63     18      0
   5.45    0    1   4    1    0    0  0, 1     18  49827  49538      0     64     19      0
   6.43    0    1   4    1    0    0  0, 1     19  49827  49539      0     65     20      0
   7.52    0    1   4    1    0    0  0, 1     20  49827  49540      0     66     21      0
   8.50    0    1   4    1    0    0  0, 1     21  49827  49541      0     67     22      0
   9.48    0    1   4    1    0    0  0, 1     22  49827  49542      0     68     23      0
  10.46    0    1   4    1    0    0  0, 1     23  49827  49543      0     69     24      0
  11.44    0    1   4    1    0    0  0, 1     24  49827  49544      0     70     25      0
  12.53    0    1   4    1    0    0  0, 1     25  49827  49545      0     71     26      0
  13.50    0    1   4    1    0    0  0, 1     26  49827  49546      0     72     27      0
  14.48    0    1   4    1    0    0  0, 1     27  49827  49547      0     73     28      0
  15.46    0    1   4    1    0    0  0, 1     28  49827  49548      0     74     29      0
  16.44    0    1   4    1    0    0  0, 1     29  49827  49549      0     75     30      0
  17.42    0    1   4    1    0    0  0, 1     29  49827  49550      0     76     31      0
  17.53    0    1   4    1    0    0  0, 1     30  49827  49550      0     76     31      0
  18.51    0    1   4    1    0    0  0, 1     31  49827  49551      0     77     32      0
  19.49    0    1   4    1    0    0  0, 1     32  49827  49552      0     78     33      0
  20.48    0    1   4    1    0    0  0, 1     33  49827  49553      0     79     34      0
  21.46    0    1   4    1    0    0  0, 1     34  49827  49554      0     80     35      0
  22.44    0    1   4    1    0    0  0, 1     35  49827  49555      0     81     36      0
  23.52    0    1   4    1    0    0  0, 1     36  49827  49556      0     82     37      0
  24.50    0    1   4    1    0    0  0, 1     37  49827  49557      0     83     38      0
  25.48    0    1   4    1    0    0  0, 1     38  49827  49558      0     84     39      0
  26.46    0    1   4    1    0    0  0, 1     39  49827  49559      0     85     40      0
  27.44    0    1   4    1    0    0  0, 1     40  49827  49560      0     86     41      0
  28.52    0    1   4    1    0    0  0, 1     41  49827  49561      0     87     42      0
  29.50    0    1   4    1    0    0  0, 1     42  49827  49562      0     88     43      0
  30.49    0    1   4    1    0    0  0, 1     43  49827  49563      0     89     44      0
  31.47    0    1   4    1    0    0  0, 1     44  49827  49564      0     90     45      0
  32.46    0    1   4    1    0    0  0, 1     45  49827  49565      0     91     46      0
  33.45    0    1   4    1    0    0  0, 1     46  49827  49566      0     92     47      0
  34.43    0    1   4    1    0    0  0, 1     47  49827  49567      0     93     48      0
  35.53    0    1   4    1    0    0  0, 1     48  49827  49568      0     94     49      0
  36.51    0    1   4    1    0    0  0, 1     49  49827  49569      0     95     50      0
  37.49    0    1   4    1    0    0  0, 1     50  49827  49570      0     96     51      0
  38.47    0    1   4    1    0    0  0, 1     51  49827  49571      0     97     52      0
  39.45    0    1   4    1    0    0  0, 1     52  49827  49572      0     98     53      0
  40.44    0    1   4    1    0    0  0, 1     53  49827  49573      0     99     54      0
  41.52    0    1   4    1    0    0  0, 1     54  49827  49574      0    100     55      0
  42.50    0    1   4    1    0    0  0, 1     55  49827  49575      0    101     56      0
  43.47    0    1   4    1    0    0  0, 1     56  49827  49576      0    102     57      0
  44.45    0    1   4    1    0    0  0, 1     57  49827  49577      0    103     58      0
  45.54    0    1   4    1    0    0  0, 1     58  49827  49578      0    104     59      0
  46.52    0    1   4    1    0    0  0, 1     59  49827  49579      0    105     60      0
  47.50    0    1   4    1    0    0  0, 1     60  49827  49580      0    106     61      0
  48.48    0    1   4    1    0    0  0, 1     61  49827  49581      0    107     62      0
  49.46    0    1   4    1    0    0  0, 1     62  49827  49582      0    108     63      0
  50.44    0    1   4    1    0    0  0, 1     63  49827  49583      0    109     64      0
  51.53    0    1   4    1    0    0  0, 1     64  49827  49584      0    110     65      0
  52.52    0    1   4    1    0    0  0, 1     65  49827  49585      0    111     66      0
  53.50    0    1   4    1    0    0  0, 1     66  49827  49586      0    112     67      0
  54.48    0    1   4    1    0    0  0, 1     67  49827  49587      0    113     68      0
  55.46    0    1   4    1    0    0  0, 1     68  49827  49588      0    114     69      0
  56.44    0    1   4    1    0    0  0, 1     68  49827  49589      0    115     70      0
  56.55    0    1   4    1    0    0  0, 1     69  49827  49589      0    115     70      0
  57.53    0    1   4    1    0    0  0, 1     70  49827  49590      0    116     71      0
  58.51    0    1   4    1    0    0  0, 1     71  49827  49591      0    117     72      0
  59.49    0    1   4    1    0    0  0, 1     72  49827  49592      0    118     73      0
  60.47    0    1   4    1    0    0  0, 1     73  49827  49593      0    119     74      0
  61.45    0    1   4    1    0    0  0, 1     74  49827  49594      0    120     75      0
