=== 316 室外 EEV + 化霜（外机1）===
版本 = [316, 12, 14, 2026, 9, 17]   机型=2 风机=2   BoardAddressSet=1
环温 = 5.0C   翅片1 = 11.0C
**EEVCtrlNum[804] = 99**  <- 本机实际控制几路电磁头；第 99 路之后是未用通道

  ⚠ 室外 EEV 在制热时**应该是有开度的**（按过热度控制）；
     化霜一开始必须归 0 —— 那就是 #2 的判据。

   t | St Tmd | Comp Four Fan | DefC0 | EEV1..4 目标/当前/跑 | CanDef DSig | f1410 Gap0 DefRT | 环温 翅片1 | 动作
      0 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 286/286/0 238/238/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  477     0 |   5.0  11.0 |
      0 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 286/286/0 238/238/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  478     0 |   5.0  11.0 |
      1 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 286/286/0 238/238/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  479     0 |   5.0  11.0 |
      2 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 286/286/0 238/238/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  480     0 |   5.0  11.0 |
      3 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 287/287/0 238/238/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  480     0 |   5.0  11.0 |
      3 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 287/287/0 238/238/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  481     0 |   5.0  11.0 |
      4 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 287/287/0 238/238/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  482     0 |   5.0  11.0 |
      5 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 287/287/0 238/238/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  483     0 |   5.0  11.0 |
      6 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 287/287/0 238/238/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  484     0 |   5.0  11.0 |
      7 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 287/287/0 238/238/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  485     0 |   5.0  11.0 |
      8 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 288/288/0 238/238/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  485     0 |   5.0  11.0 |
      8 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 288/288/0 238/238/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  486     0 |   5.0  11.0 |
      9 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 288/288/0 239/239/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  486     0 |   5.0  11.0 |
      9 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 288/288/0 239/239/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  487     0 |   5.0  11.0 |
     10 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 288/288/0 239/239/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  488     0 |   5.0  11.0 |
     11 |  0   0 | [1, 1] [1, 1] [1, 1] |     0 | 288/288/0 239/239/0 0/530/0 0/530/0 | [0, 0] [0, 0] |    0  489     0 |   5.0  11.0 |
