=== 定时化霜可达性探针（拔探头时盯）===
版本 = [316, 12, 14, 2026, 9, 17]   机型=2 风机=2   Comp1Enable[152]=0
环温 = 5.0C   翅片1 = -21.9C
化霜参数: [182]定时化霜温度设定=9.0  [183]定时间隔=29分  [184]定时化霜时间=3分  [185]压机最小运行=9分

  故障字(605~620)   TMode Y05 CRT Gap0 | St Elig End Strt Comp Four Fan | NEnv TEnv FinLow0 | 环温 翅片1 | 动作
       0  -                    0   1   512   512 |  0 [0, 0] [0, 0] [0, 0] [1, 1] [1, 1] [1, 1] |   60    0     30 |   5.0 -21.9 |
       0  -                    0   1   513   513 |  0 [0, 0] [0, 0] [0, 0] [1, 1] [1, 1] [1, 1] |   60    0     30 |   5.0 -21.9 |
       1  -                    0   1   513   513 |  0 [0, 0] [0, 0] [0, 0] [1, 1] [1, 1] [1, 1] |   60    0     30 |   5.0 -22.0 |
       1  -                    0   1   513   513 |  0 [0, 0] [0, 0] [0, 0] [1, 1] [1, 1] [1, 1] |   60    0     30 |   5.0 -21.9 |
       1  -                    0   1   513   513 |  0 [0, 0] [0, 0] [0, 0] [1, 1] [1, 1] [1, 1] |   60    0     30 |   5.0 -22.0 |
       1  -                    0   1   514   514 |  0 [0, 0] [0, 0] [0, 0] [1, 1] [1, 1] [1, 1] |   60    0     30 |   5.0 -22.0 |
       1  -                    0   1   514   514 |  0 [0, 0] [0, 0] [0, 0] [1, 1] [1, 1] [1, 1] |   60    0     30 |   5.0 -21.9 |
       2  -                    0   1   515   515 |  0 [0, 0] [0, 0] [0, 0] [1, 1] [1, 1] [1, 1] |   60    0     30 |   5.0 -21.9 |
       3  -                    0   1   516   516 |  0 [0, 0] [0, 0] [0, 0] [1, 1] [1, 1] [1, 1] |   60    0     30 |   5.0 -21.9 |
       4  -                    0   1   517   517 |  0 [0, 0] [0, 0] [0, 0] [1, 1] [1, 1] [1, 1] |   60    0     30 |   5.0 -21.9 |
       5  -                    0   1   517   517 |  0 [0, 0] [0, 0] [0, 0] [1, 1] [1, 1] [1, 1] |   60    0      0 |   5.1 999.9 |
       5  -                    0   1   517   517 |  0 [0, 0] [0, 0] [0, 0] [1, 1] [1, 1] [1, 1] |   60    0      0 |   5.0 999.9 |
       5  -                    0   1   518   518 |  0 [0, 0] [0, 0] [0, 0] [1, 1] [1, 1] [1, 1] |   60    0      0 |   5.0 999.9 |
       6  -                    0   1   519   519 |  0 [0, 0] [0, 0] [0, 0] [1, 1] [1, 1] [1, 1] |   60    0      0 |   5.0 999.9 |
       7  -                    0   1   520   520 |  0 [0, 0] [0, 0] [0, 0] [1, 1] [1, 1] [1, 1] |   60    0      0 |   5.0 999.9 |
       8  -                    0   1   521   521 |  0 [0, 0] [0, 0] [0, 0] [1, 1] [1, 1] [1, 1] |   60    0      0 |   5.0 999.9 |
       9  -                    0   1   522   522 |  0 [0, 0] [0, 0] [0, 0] [1, 1] [1, 1] [1, 1] |   60    0      0 |   5.0 999.9 |
  [   9.6] >>> 故障字变化 613:0->1
      10  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0    0      0 |   5.0 999.9 |
      10  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0    1      0 |   5.0 999.9 |
      11  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0    2      0 |   5.0 999.9 |
      12  613=1                1   1     0   522 |  0 [0, 0] [0, 0] [0, 0] [0, 1] [0, 1] [0, 1] |    0    3      0 |   5.0 999.9 |
