=== 330 化霜/辅热 探针 ===
版本 Parameter[0..5] = [0, 1, 0, 0, 0, 0]

--- 加热配置 ---
  再热是否启用[127]=1  制热方式[128]=1 (热泵制热)  共用[129]=1
  再热/辅热方式[332]=1 (AO)  预热输出方式[333]=4
  化霜阀开度 [21](派生)=200   [372](HMI真配)=350

--- 化霜排他性 ---
  **PSC316DefrostOwner = 2**   (0=无人在化霜；单字节 -> 天然唯一)
  外机1: CompStatus=['制热', '制热']  CanDefrost=[0, 0]  DefrostSignal=[0, 0]
  外机2: CompStatus=['停', '停']  CanDefrost=[1, 0]  DefrostSignal=[1, 1]  <== owner
  外机3: CompStatus=['停', '停']  CanDefrost=[0, 0]  DefrostSignal=[0, 0]
  外机4: CompStatus=['停', '停']  CanDefrost=[0, 0]  DefrostSignal=[0, 0]
  外机5: CompStatus=['停', '停']  CanDefrost=[0, 0]  DefrostSignal=[0, 0]
  外机6: CompStatus=['停', '停']  CanDefrost=[0, 0]  DefrostSignal=[0, 0]

--- 辅热 ---
  output[0..2] = [0, 256, 1]  (Heat1Y00/Heat2Y01/Heat3Y02)
  IndoorHeatAnalogDemand = 0   IndoorHeatAnalogMode = 1 (AO)
  ReheatPidStateDisp[942] = 1

=== 10Hz 采样（只记变化）===
  t | Owner | 外机1 CS/CD/DS | 外机2 CS/CD/DS | 外机3 CS/CD/DS | HeatY00/01/02 | AODemand Mode | PIDstate
     0      2  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[1, 0]/[1, 1]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
     3      2  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[1, 0]/[1, 1]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
     6      2  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[1, 0]/[1, 1]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
     9      2  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[1, 0]/[1, 1]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    12      2  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[1, 0]/[1, 1]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    15      2  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[1, 0]/[1, 1]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    18      2  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[1, 0]/[1, 1]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    22      2  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[1, 0]/[1, 1]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    25      2  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[1, 0]/[1, 1]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    28      2  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[1, 0]/[1, 1]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    31      2  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[1, 0]/[1, 1]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    34      2  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[1, 0]/[1, 1]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    37      2  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[1, 0]/[1, 1]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    40      2  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[1, 0]/[1, 1]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    43      2  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[1, 0]/[1, 1]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    46      2  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[1, 0]/[1, 1]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    49      2  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[1, 0]/[1, 1]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    53      2  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[1, 0]/[1, 1]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    53      2  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[1, 1]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    53      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    56      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    59      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    62      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
    65      0  [3, 3]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  [0, 0]/[0, 0]/[0, 0]  0/256/1      0 1  1
