=== 330 室内 EEV 动态记录（规格书 3.9 验算）===
工作模式 = 制冷   机型[165]=0 风机[166]=1
参数: Y=5.0C  YD=2.0C  KP=5  TP=5s  TI=100s  TD=0s  起始开度=200  每周期最大=20  化霜开度=350  PID使能=1

  ⚠ 过热度由 316 上报，330 本地只有 E(K)=过热度−Y
  EEV1..4 显示 目标/当前；Δ 只在变化时打；累计开/关按 EEV1 统计

   t | WMd | 外机1 压机 | EEV1 E0 E1 E2 算式 分支后 | EEV1..4 目标/当前 | 关模式 关目标 | 周期 采样 | 累计开 累计关 | 备注
      0 | 制冷   | 制冷/制冷     |    38    38    38     1     1 | 452/452 317/317 500/500 486/486 | -/-/-/-     452/317/500/486 |    32    2 |     0     0 | C
      0 | 制冷   | 制冷/制冷     |    38    38    38     1     1 | 452/452 317/317 500/500 487/487 | -/-/-/-     452/317/500/487 |    36    2 |     0     0 | C
      2 | 制冷   | 制冷/制冷     |    38    38    38     1     1 | 453/453 317/317 500/500 487/487 | -/-/-/-     453/317/500/487 |     0    2 |     1     0 | ** EEV1 Δ=+1 ** C
      5 | 制冷   | 制冷/制冷     |    38    38    38     1     1 | 453/453 318/318 500/500 487/487 | -/-/-/-     453/318/500/487 |    33    2 |     1     0 | C
      5 | 制冷   | 制冷/制冷     |    38    38    38     1     1 | 453/453 318/318 500/500 488/488 | -/-/-/-     453/318/500/488 |    36    2 |     1     0 | C
      7 | 制冷   | 制冷/制冷     |    38    38    38     1     1 | 454/454 318/318 500/500 488/488 | -/-/-/-     454/318/500/488 |     1    2 |     2     0 | ** EEV1 Δ=+1 ** C
     10 | 制冷   | 制冷/制冷     |    38    38    38     1     1 | 454/454 318/318 500/500 488/488 | -/-/-/-     454/318/500/489 |    36    2 |     2     0 | C
     10 | 制冷   | 制冷/制冷     |    38    38    38     1     1 | 454/454 318/318 500/500 490/490 | -/-/-/-     454/318/500/490 |    37    2 |     2     0 | C
     12 | 制冷   | 制冷/制冷     |    38    38    38     1     1 | 455/455 318/318 500/500 490/490 | -/-/-/-     455/318/500/490 |     0    2 |     3     0 | ** EEV1 Δ=+1 ** C
     15 | 制冷   | 制冷/制冷     |    38    38    38     1     1 | 455/455 318/318 500/500 490/490 | -/-/-/-     455/319/500/490 |    33    2 |     3     0 | C
     15 | 制冷   | 制冷/制冷     |    38    38    38     1     1 | 455/455 319/319 500/500 490/490 | -/-/-/-     455/319/500/490 |    34    2 |     3     0 | C
     15 | 制冷   | 制冷/制冷     |    38    38    38     1     1 | 455/455 319/319 500/500 491/491 | -/-/-/-     455/319/500/491 |    36    2 |     3     0 | C
     17 | 制冷   | 制冷/制冷     |     0     0     0     0     0 | 465/465 329/329 510/510 501/501 | 紧急/紧急/紧急/紧急 465/329/510/501 |     0    0 |    13     0 | ** EEV1 Δ=+10 ** 死区
     17 | 制冷   | 制冷/制冷     |     0     0     0     0     0 | 445/456 309/329 490/510 481/501 | 紧急/紧急/紧急/紧急 445/309/490/481 |     0    0 |    13    20 | ** EEV1 Δ=-20 ** 死区
     17 | 制冷   | 制冷/制冷     |     0     0     0     0     0 | 445/445 309/329 490/510 481/501 | 紧急/紧急/紧急/紧急 445/309/490/481 |     0    0 |    13    20 | 死区
     18 | 制冷   | 制冷/制冷     |     0     0     0     0     0 | 445/445 309/321 490/510 481/501 | 紧急/紧急/紧急/紧急 445/309/490/481 |     0    0 |    13    20 | 死区
     18 | 制冷   | 制冷/制冷     |     0     0     0     0     0 | 445/445 309/312 490/510 481/501 | 紧急/紧急/紧急/紧急 445/309/490/481 |     0    0 |    13    20 | 死区
     18 | 制冷   | 制冷/制冷     |     0     0     0     0     0 | 445/445 309/309 490/510 481/501 | 紧急/紧急/紧急/紧急 445/309/490/481 |     0    0 |    13    20 | 死区
     18 | 制冷   | 制冷/制冷     |     0     0     0     0     0 | 425/438 289/309 470/510 461/501 | 紧急/紧急/紧急/紧急 425/289/470/461 |     0    0 |    13    40 | ** EEV1 Δ=-20 ** 死区
     18 | 制冷   | 制冷/制冷     |     0     0     0     0     0 | 425/427 289/309 470/510 461/501 | 紧急/紧急/紧急/紧急 425/289/470/461 |     0    0 |    13    40 | 死区
     19 | 制冷   | 制冷/制冷     |     0     0     0     0     0 | 425/425 289/309 470/505 461/501 | 紧急/紧急/紧急/紧急 425/289/470/461 |     0    0 |    13    40 | 死区
     19 | 制冷   | 制冷/制冷     |     0     0     0     0     0 | 425/425 289/309 470/496 461/501 | 紧急/紧急/紧急/紧急 425/289/470/461 |     0    0 |    13    40 | 死区
     19 | 制冷   | 制冷/制冷     |     0     0     0     0     0 | 425/425 289/309 470/488 461/501 | 紧急/紧急/紧急/紧急 425/289/470/461 |     0    0 |    13    40 | 死区
     19 | 制冷   | 制冷/制冷     |     0     0     0     0     0 | 425/425 289/309 470/479 461/501 | 紧急/紧急/紧急/紧急 425/289/470/461 |     0    0 |    13    40 | 死区
     19 | 制冷   | 停/停       |     0     0     0     0     0 | 425/425 289/309 470/471 461/501 | 紧急/紧急/紧急/紧急 425/289/470/461 |     0    0 |    13    40 | 死区
     19 | 制冷   | 停/停       |     0     0     0     0     0 | 425/425 289/309 470/470 461/499 | 紧急/紧急/紧急/紧急 425/289/470/461 |     0    0 |    13    40 | 死区
     19 | 制冷   | 停/停       |     0     0     0     0     0 | 405/425 269/309 450/470 441/491 | 紧急/紧急/紧急/紧急 405/269/450/441 |     0    0 |    13    60 | ** EEV1 Δ=-20 ** 死区
     19 | 制冷   | 停/停       |     0     0     0     0     0 | 405/425 269/309 450/470 441/480 | 紧急/紧急/紧急/紧急 405/269/450/441 |     0    0 |    13    60 | 死区
     20 | 制冷   | 停/停       |     0     0     0     0     0 | 405/425 269/309 450/470 441/469 | 紧急/紧急/紧急/紧急 405/269/450/441 |     0    0 |    13    60 | 死区
     20 | 制冷   | 停/停       |     0     0     0     0     0 | 405/425 269/309 450/470 441/458 | 紧急/紧急/紧急/紧急 405/269/450/441 |     0    0 |    13    60 | 死区
     20 | 制冷   | 停/停       |     0     0     0     0     0 | 405/425 269/309 450/470 441/447 | 紧急/紧急/紧急/紧急 405/269/450/441 |     0    0 |    13    60 | 死区
     20 | 制冷   | 停/停       |     0     0     0     0     0 | 405/425 269/300 450/470 441/445 | 紧急/紧急/紧急/紧急 405/269/450/441 |     0    0 |    13    60 | 死区
