=== 330 加湿 PID 动态记录（规格书 3.8 验算，纯 Modbus）===
参数: KPS=5  TIS=100s  KDS=0  T=5s  SDF=20.0%RH

   t | Sys | 设定 实际 | E(931) | N(892) BX Z(939) 期望Z | 备注
      0 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
      1 |  2 |  50.0  50.5 |     -3 |    0   1     0      0 | 制热故障=1 | 死区
      3 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     11 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     14 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     15 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     16 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     18 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     19 |  2 |  50.0  50.4 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     20 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     21 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     23 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     24 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     25 |  2 |  50.0  50.5 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     26 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     28 |  2 |  50.0  50.4 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     29 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     31 |  2 |  50.0  50.4 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     33 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     34 |  2 |  50.0  50.5 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     35 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     39 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     40 |  2 |  50.0  50.5 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     41 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     43 |  2 |  50.0  50.5 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     44 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     45 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     46 |  2 |  50.0  50.4 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     48 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     49 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     50 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     51 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     54 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     55 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     57 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     58 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     59 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     62 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     67 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     68 |  2 |  50.0  50.4 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     69 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     70 |  2 |  50.0  50.5 |     -6 |    0   1     0      0 | 制热故障=1 | 死区
     72 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     74 |  2 |  50.0  50.4 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     75 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     77 |  2 |  50.0  50.5 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     78 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     79 |  2 |  50.0  50.5 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     80 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     83 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     84 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     89 |  2 |  50.0  50.5 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     90 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     92 |  2 |  50.0  50.5 |     -6 |    0   1     0      0 | 制热故障=1 | 死区
     93 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
     98 |  2 |  50.0  50.5 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
     99 |  2 |  50.0  50.6 |     -6 |    0   1     0      0 | 制热故障=1 | 死区
    100 |  2 |  50.0  50.6 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    102 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    104 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    105 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    107 |  2 |  50.0  50.5 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    108 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    109 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    110 |  2 |  50.0  50.5 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    112 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    113 |  2 |  50.0  50.5 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    114 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    116 |  2 |  50.0  50.3 |     -3 |    0   1     0      0 | 制热故障=1 | 死区
    117 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    119 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    121 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    124 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    126 |  2 |  50.0  50.4 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    127 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    128 |  2 |  50.0  50.4 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    129 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    136 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    137 |  2 |  50.0  50.5 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    138 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    139 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    141 |  2 |  50.0  50.5 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    142 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    143 |  2 |  50.0  50.4 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    144 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    148 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    149 |  2 |  50.0  50.4 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    151 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    152 |  2 |  50.0  50.5 |     -3 |    0   1     0      0 | 制热故障=1 | 死区
    153 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    158 |  2 |  50.0  50.5 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    159 |  2 |  50.0  50.3 |     -3 |    0   1     0      0 | 制热故障=1 | 死区
    161 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    162 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    166 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    168 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    169 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    171 |  2 |  50.0  50.3 |     -3 |    0   1     0      0 | 制热故障=1 | 死区
    172 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    175 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    177 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    181 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    182 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    186 |  2 |  50.0  50.4 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    187 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    188 |  2 |  50.0  50.4 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    190 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    191 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    192 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    193 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    195 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    197 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    201 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    203 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    206 |  2 |  50.0  50.4 |     -3 |    0   1     0      0 | 制热故障=1 | 死区
    207 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    208 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    211 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    212 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    215 |  2 |  50.0  50.6 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    216 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    217 |  2 |  50.0  50.3 |     -3 |    0   1     0      0 | 制热故障=1 | 死区
    218 |  2 |  50.0  50.4 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    220 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    222 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    223 |  2 |  50.0  50.4 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    225 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    227 |  2 |  50.0  50.5 |     -3 |    0   1     0      0 | 制热故障=1 | 死区
    228 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    230 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    232 |  2 |  50.0  50.4 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    236 |  2 |  50.0  50.5 |     -4 |    0   1     0      0 | 制热故障=1 | 死区
    237 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    239 |  2 |  50.0  50.4 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
    240 |  2 |  50.0  50.5 |     -5 |    0   1     0      0 | 制热故障=1 | 死区
