=== 330 预热 PID 逐拍对账 ===
SysStep[709]=2  预热输出方式[333]=1(1=AO 4=SCR)  预热控制方式[374]=1(0=插入 1=PID)  锁存[968]=0
YWD[375]=10.0C  YWDF[376]=4.0C  T[412]=5秒  KPY[350]=5 TIY[351]=100 KDY[352]=0
新风[512]=-5.0C  预热后[513]=-14.0C


  拍 |    t | E(929) 预热后(513) | 实际Z 实际N | 期望Z 期望N | 判定
    1 |     3 |    241    -14.1 |    12   170 |     0     0 | ✗
    2 |     8 |    241    -14.2 |    13   183 |     6     6 | ✗
    3 |    13 |    242    -14.2 |    13   196 |     6    12 | ✗
    4 |    18 |    242    -14.2 |    12   208 |     6    18 | ✗
    5 |    23 |    242    -14.2 |    24   232 |     6    24 | ✗
    6 |    28 |    241    -14.1 |    23   255 |     6    30 | ✗
    7 |    33 |    241    -14.1 |    24   279 |     6    36 | ✗
    8 |    38 |    240    -14.0 |    22   301 |     5    41 | ✗
    9 |    43 |    240    -14.0 |    24   301 |     6    47 | ✗
   10 |    43 |    240    -14.0 |    24   325 |     6    53 | ✗
   11 |    48 |    240    -14.0 |    24   349 |     6    59 | ✗
   12 |    53 |    241    -14.1 |    26   375 |     7    66 | ✗
   13 |    58 |    241    -14.1 |    24   399 |     6    72 | ✗
   14 |    63 |    240    -14.0 |    22   421 |     5    77 | ✗
   15 |    68 |    241    -14.1 |    39   460 |     7    84 | ✗
   16 |    73 |    241    -14.1 |    36   496 |     6    90 | ✗
   17 |    78 |    240    -14.0 |    33   529 |     5    95 | ✗
   18 |    83 |    240    -14.0 |    60   589 |     6   101 | ✗
   19 |    88 |    239    -13.9 |    55   644 |    11   112 | ✗
   20 |    93 |    239    -13.9 |    60   704 |    12   124 | ✗
   21 |    98 |    238    -13.8 |    54   758 |    11   135 | ✗
   22 |   103 |    237    -13.7 |    60   758 |    11   146 | ✗
   23 |   103 |    237    -13.7 |    60   818 |    12   158 | ✗
   24 |   108 |    237    -13.7 |    54   818 |    12   170 | ✗
   25 |   108 |    237    -13.7 |    54   872 |    12   182 | ✗
   26 |   113 |    237    -13.8 |    59   931 |    11   193 | ✗
   27 |   118 |    238    -13.8 |    65   996 |    13   206 | ✗
   28 |   123 |    238    -13.8 |    59  1000 |    24   230 | ✗
   29 |   133 |    237    -13.7 |    54  1000 |    22   252 | ✗
   30 |   138 |    238    -13.8 |    64  1000 |    26   278 | ✗
   31 |   148 |    238    -13.8 |    54  1000 |    23   301 | ✗
   32 |   153 |    238    -13.8 |    59  1000 |    24   325 | ✗
   33 |   158 |    239    -13.9 |    64  1000 |    26   351 | ✗
   34 |   163 |    239    -13.9 |    59  1000 |    24   375 | ✗
   35 |   173 |    240    -14.0 |    65  1000 |    26   401 | ✗
   36 |   178 |    240    -14.0 |    60  1000 |    36   437 | ✗
   37 |   188 |    241    -14.1 |    65  1000 |    39   476 | ✗
   38 |   193 |    241    -14.1 |    60  1000 |    36   512 | ✗
   39 |   203 |    240    -14.0 |    55  1000 |    55   567 | Z✓N✗
   40 |   208 |    240    -14.0 |    60  1000 |    60   627 | Z✓N✗
   41 |   218 |    241    -14.1 |    65  1000 |    66   693 | ✗
   42 |   223 |    241    -14.1 |    60  1000 |    60   753 | Z✓N✗
   43 |   228 |    242    -14.2 |    65  1000 |    65   818 | Z✓N✗
   44 |   233 |    242    -14.2 |    60  1000 |    61   879 | ✗
   45 |   253 |    241    -14.1 |    55  1000 |    55   934 | Z✓N✗

结束（45 拍）
