=== 复位前 ===
  316 版本 = [316, 12, 13, 2026, 9, 17]   <- 需要 12,12
  机型=2 风机类型=4 制冷剂=R410A
  AI偏移 AI0=302 AI1=825   高压1=2690(47.0C) 高压2=2690(47.0C)  -> 冷凝=47.0C
  VfdOn=1 VfdSpeed=50.0Hz  Comp=1,1  NoCompSec=0

>>> tgt.reset()（复位并运行）

=== 复位后 10Hz 采样（只记变化）===
   t(s)  冷凝  VfdOn  VfdHz  Comp   NoCmp  ChgSec  Stop0  Load Unld Full  Y02 Y03 Y07
    0.0 -51.9      0    0.0  0,0      0      15    300     0    0    0  0   0   0
    6.0  47.0      0    0.0  0,0      0      15    300     0    0    0  0   0   0
   10.1  47.0      1   50.0  0,0      0       0    300     0    0    0  1   0   0
   11.1  47.0      1   50.0  0,0      0       0      0     0    0    0  1   0   0
   12.1  47.0      1   50.0  0,0      0       1      0     0    0    0  1   0   0
   13.1  47.0      1   50.0  0,0      0       2      0     0    0    0  1   0   0
   14.1  47.0      1   50.0  0,0      0       3      0     0    0    0  1   0   0
   15.1  47.0      1   50.0  0,0      0       4      0     0    0    0  1   0   0
   16.1  47.0      1   50.0  0,0      0       5      0     0    0    0  1   0   0
   17.1  47.0      1   50.0  0,0      0       6      0     0    0    0  1   0   0
   18.1  47.0      1   50.0  0,0      0       7      0     0    0    0  1   0   0
   19.1  47.0      1   50.0  0,0      0       8      0     0    0    0  1   0   0
   20.1  47.0      1   50.0  0,0      0       9      0     0    0    0  1   0   0
   21.1  47.0      1   50.0  0,0      0      10      0     0    0    0  1   0   0
   22.1  47.0      1   50.0  0,0      0      11      0     0    0    0  1   0   0
   23.1  47.0      1   50.0  0,0      0      12      0     0    0    0  1   0   0
   24.0  47.0      1   50.0  0,0      0      13      0     0    0    0  1   0   0
   25.0  47.0      1   50.0  0,0      0      14      0     0    0    0  1   0   0
   26.0  47.0      1   50.0  0,0      0      15      0     0    0    0  1   0   0
   27.0  47.0      1   50.0  0,0      0      16      0     0    0    0  1   0   0
   28.0  47.0      1   50.0  0,0      0      17      0     0    0    0  1   0   0
   29.0  47.0      1   50.0  0,0      0      18      0     0    0    0  1   0   0
   30.0  47.0      1   50.0  0,0      0      19      0     0    0    0  1   0   0
   31.0  47.0      1   50.0  0,0      0      20      0     0    0    0  1   0   0
   32.0  47.0      1   50.0  0,0      0      21      0     0    0    0  1   0   0
   33.0  47.0      1   50.0  0,0      0      22      0     0    0    0  1   0   0
   34.1  47.0      1   50.0  0,0      0      23      0     0    0    0  1   0   0
   35.1  47.0      1   50.0  0,0      0      24      0     0    0    0  1   0   0
   36.1  47.0      1   50.0  0,0      0      25      0     0    0    0  1   0   0
   37.1  47.0      1   50.0  0,0      0      26      0     0    0    0  1   0   0
   38.1  47.0      1   50.0  0,0      0      27      0     0    0    0  1   0   0
   39.1  47.0      1   50.0  0,0      0      28      0     0    0    0  1   0   0
   40.1  47.0      1   50.0  0,0      0      29      0     0    0    0  1   0   0
   41.1  47.0      1   50.0  0,0      0      30      0     0    0    0  1   0   0
   42.1  47.0      1   50.0  0,0      0      31      0     0    0    0  1   0   0
   43.1  47.0      1   50.0  0,0      0      32      0     0    0    0  1   0   0
   44.1  47.0      1   50.0  0,0      0      33      0     0    0    0  1   0   0
   45.1  47.0      1   50.0  0,0      0      34      0     0    0    0  1   0   0
   46.1  47.0      1   50.0  0,0      0      35      0     0    0    0  1   0   0
   47.1  47.0      1   50.0  0,0      0      36      0     0    0    0  1   0   0
   48.1  47.0      1   50.0  0,0      0      37      0     0    0    0  1   0   0
   49.1  47.0      1   50.0  0,0      0      38      0     0    0    0  1   0   0
   50.1  47.0      1   50.0  0,0      0      39      0     0    0    0  1   0   0
   51.1  47.0      1   50.0  0,0      0      40      0     0    0    0  1   0   0
   52.1  47.0      1   50.0  0,0      0      41      0     0    0    0  1   0   0
   53.1  47.0      1   50.0  0,0      0      42      0     0    0    0  1   0   0
   54.1  47.0      1   50.0  0,0      0      43      0     0    0    0  1   0   0
   55.1  47.0      1   50.0  0,0      0      44      0     0    0    0  1   0   0
   56.1  47.0      1   50.0  0,0      0      45      0     0    0    0  1   0   0
   57.1  47.0      1   50.0  0,0      0      46      0     0    0    0  1   0   0
   58.0  47.0      1   50.0  0,0      0      47      0     0    0    0  1   0   0
   59.0  47.0      1   50.0  0,0      0      48      0     0    0    0  1   0   0
   60.0  47.0      1   50.0  0,0      0      49      0     0    0    0  1   0   0
   61.0  47.0      1   50.0  0,0      0      50      0     0    0    0  1   0   0
   62.0  47.0      1   50.0  0,0      0      51      0     0    0    0  1   0   0
   63.0  47.0      1   50.0  0,0      0      52      0     0    0    0  1   0   0
   64.0  47.0      1   50.0  0,0      0      53      0     0    0    0  1   0   0
   65.0  47.0      1   50.0  0,0      0      54      0     0    0    0  1   0   0
   66.0  47.0      1   50.0  0,0      0      55      0     0    0    0  1   0   0
   67.0  47.0      1   50.0  0,0      0      56      0     0    0    0  1   0   0
   68.0  47.0      1   50.0  0,0      0      57      0     0    0    0  1   0   0
   69.0  47.0      1   50.0  0,0      0      58      0     0    0    0  1   0   0
   70.0  47.0      1   50.0  0,0      0      59      0     0    0    0  1   0   0
   71.1  47.1      1   50.0  0,0      0      60      0     0    0    0  1   0   0
   72.1  47.0      1   50.0  0,0      0      61      0     0    0    0  1   0   0
   73.0  47.0      1   50.0  0,0      0      62      0     0    0    0  1   0   0
   74.0  47.0      1   50.0  0,0      0      63      0     0    0    0  1   0   0
   75.0  47.0      1   50.0  0,0      0      64      0     0    0    0  1   0   0
   76.0  47.0      1   50.0  0,0      0      65      0     0    0    0  1   0   0
   77.0  47.0      1   50.0  0,0      0      66      0     0    0    0  1   0   0
   78.0  47.0      1   50.0  0,0      0      67      0     0    0    0  1   0   0
   79.0  47.0      1   50.0  0,0      0      68      0     0    0    0  1   0   0
   80.0  47.0      1   50.0  0,0      0      69      0     0    0    0  1   0   0
   81.0  47.0      1   50.0  0,0      0      70      0     0    0    0  1   0   0
   82.0  47.0      1   50.0  0,0      0      71      0     0    0    0  1   0   0
   83.0  47.0      1   50.0  0,0      0      72      0     0    0    0  1   0   0
   84.0  47.0      1   50.0  0,0      0      73      0     0    0    0  1   0   0
   85.0  47.0      1   50.0  0,0      0      74      0     0    0    0  1   0   0
   86.1  47.0      1   50.0  0,0      0      75      0     0    0    0  1   0   0
   87.1  47.0      1   50.0  0,0      0      76      0     0    0    0  1   0   0
   88.1  47.0      1   50.0  0,0      0      77      0     0    0    0  1   0   0
   89.1  47.0      1   50.0  0,0      0      78      0     0    0    0  1   0   0
   90.1  47.0      1   50.0  0,0      0      79      0     0    0    0  1   0   0
   91.1  47.0      1   50.0  0,0      0      80      0     0    0    0  1   0   0
   92.1  47.0      1   50.0  0,0      0      81      0     0    0    0  1   0   0
   93.1  47.0      1   50.0  0,0      0      82      0     0    0    0  1   0   0
   94.1  47.0      1   50.0  0,0      0      83      0     0    0    0  1   0   0
   95.1  47.0      1   50.0  0,0      0      84      0     0    0    0  1   0   0
   96.1  47.0      1   50.0  0,0      0      85      0     0    0    0  1   0   0
   97.1  47.0      1   50.0  0,0      0      86      0     0    0    0  1   0   0
   98.1  47.0      1   50.0  0,0      0      87      0     0    0    0  1   0   0
   99.1  47.0      1   50.0  0,0      0      88      0     0    0    0  1   0   0
  100.1  47.0      1   50.0  0,0      0      89      0     0    0    0  1   0   0
  101.1  47.0      1   50.0  0,0      0      90      0     0    0    0  1   0   0
  102.1  47.0      1   50.0  0,0      0      91      0     0    0    0  1   0   0
  103.1  47.0      1   50.0  0,0      0      92      0     0    0    0  1   0   0
  104.1  47.0      1   50.0  0,0      0      93      0     0    0    0  1   0   0
  105.1  47.0      1   50.0  0,0      0      94      0     0    0    0  1   0   0
  106.1  47.0      1   50.0  0,0      0      95      0     0    0    0  1   0   0
  107.1  47.0      1   50.0  0,0      0      96      0     0    0    0  1   0   0
