上电过程参数轮询  2026-09-14 18:13:41  时长 120s
观察：断电再开机，看参数是否先变成新值、再被加载覆盖回旧值

时间                    标记        最小停机        冬季阀门        盘管维持        扫描周期          风量     SysStep
------------------------------------------------------------------------------------------------
18:13:41             357         180           0          15           1          30           0
18:13:42             357         180           0          15           1          30           0
18:13:51             357         180           0          15           1          30           0
18:13:52             357         180           0          15           1          30           0
18:14:01             357         180           0          15           1          30           0
18:14:02             357         180           0          15           1          30           0
18:14:11             357         180           0          15           1          30           0
18:14:12             357         180           0          15           1          30           0
18:14:21             357         180           0          15           1          30           0
18:14:22             357         180           0          15           1          30           0
18:14:31             357         180           0          15           1          30           0
18:14:32             357         180           0          15           1          30           0
18:14:41             357         180           0          15           1          30           0
18:14:42             357         180           0          15           1          30           0
18:14:51             357         180           0          15           1          30           0
18:15:01             357         180           0          15           1          30           0
18:15:11             357         180           0          15           1          30           0
18:15:21             357         180           0          15           1          30           0
18:15:31             357         180           0          15           1          30           0
18:15:32             357         180           0          15           1          30           0

轮询结束 18:15:41
