idx   宏名                                  固件默认      设备实际       min      max
13    EEVTempDev1Set                         5        10         0       99 
14    EEVTempDev2Set                        10        20         0       99 
15    EEVTempDev3Set                        20        40         0       99 
21    DefrostEXVOpenSizeSet                 50       350         0      999 
23    EEVInitialSizeSet4                   650       170         0      999 
24    EEVInitialSizeSet6                   700       350         0      999 
30    (无宏名)                                  5         0         0     9999 
32    (无宏名)                               -100         0      -300      200 
42    MinStopTimeSet                       120       180       120      600 
46    SuperheatSet1                         40        50       -99      999 
47    SuperheatSet2                         40        50       -99      999 
89    SendtoModule                          10         3         0      999 
94    MachineTypeSet                         0         3         0        3 
110   DiskCheckSet                           5        15         1       20 
112   DiskSet                               50       100         0      150 
115   FinalChangeHMI                         0      1000     -1000     1000 
116   EnergyAdjustFlag1                      0        70     -1000     1000 
118   CompNumSet                             0         4         0        2 ★ 越界(上电会被回退)
119   CompNumCur                             0         4         0        2 ★ 越界(上电会被回退)
120   RoomTempDiffSet                       20        30        20       50 
125   CoolControlTypeSet                     0         1         0        1 
126   HeatControlTypeSet                     0         1         0        1 
127   ReheatEnableSet                        0         1         0        1 
131   ReturnFanManualVoltSet                 0        50         0      100 
157   InPutStatusSet10                       0         1         0        1 
161   UserHeatTempSet                      250       260       150      320 
162   HumiditySet                          500       400       200     1000 
164   UserAutoModeSet                        0         1         0        1 
166   SysStatusLoader                        0         1         0        1 
167   SysRunHour                             0       196         0    29999 
206   FanValveDelay                        150        60         0      999 
214   ModuleNumSet                           2         3         1       16 
215   WaterWorkTypeSet                       0         1         0        2 
216   InternalEEV                            1         0         0        1 
220   EEVManuOpenSizeSet                     0       500         0      999 
248   HumUseSet                              0         1     -1000    32767 
321   QHBSet                                50        10        10       80 
322   QHSSet                               600        60        60     1200 
323   DisinfectRunTimeSet                   60         5         0      999 
324   ExhaustRunTimeSet                     60         5         0      999 
325   AfterModeSelectSet                     0         1         0        1 
328   ExhaustFanDelaySet                    30         0       -90       90 
329   SupplyFanModeSet                       1         3         1        3 
330   ReturnFanModeSet                       0         2         0        2 
332   ReheatModeSet                          0         1         0        4 
334   HumidifyModeSet                        0         1         0        2 
335   FreshValveModeSet                      0         2         0        2 
336   SupplyValveModeSet                     0         1         0        2 
338   ExhaustValveModeSet                    0         2         0        2 
339   VentilationFanVoltSet                 80        30         0      100 
343   AirVolumeSet                        1000        30         0    10000 
344   DuctAreaSet                          100        80        10     3000 
345   AirPressureSet                         5         0         0     9999 
346   MinValveOpenSet                      200         0         0     1000 
348   ReheatTiSet                          100        20         1     1000 
350   PreheatKpSet                           5         2         1      100 
351   PreheatTiSet                         100         1         1     1000 
352   PreheatTdSet                           0         3         0     1000 
354   HumidTiSet                           100        20         1     1000 
356   PreheatStartTempSet                    0        50      -100      100 
357   PreheatFullLoadTempSet               -50         1      -300      100 
358   ReheatFullOnDevSet                    20         0         0      300 
359   ReheatFullOffDevSet                    5         1         0      300 
360   HumidFullOnDevSet                     50         0         0      100 
361   HumidityDiffSet                      200       100       100      800 
363   MaintenanceIntervalSet                 0        37         0    30000 
373   MaintenanceElapsedHourSet              0        44         0    30000 
375   PreheatAfterTempSet                   50         0         0      100 
377   FreshValveCtrlBasisSet                 0         1         0        2 
378   RoomPressureSet                        0       300      -500      500 
379   CO2Set                               800      1500         0     5000 
380   FreshValveManualVoltSet               80         0         0      100 
383   HeatRecoveryOnDevSet                  20         0         0      300 
384   HeatRecoveryOffDevSet                 10         0         0      300 
387   DebugBypassSensorSet                   0         1         0        1 
388   OutdoorUnitNumSet                      1         2         1        4 
398   HMIOnOffCommandSet                     0         1         0        1 
412   PidAdjustTimeSet1                      5         1         1       10 
417   IntegralCoeSet1                      100        20         1     1000 
420   MaxOutDV1                             30        10         1      100 
426   ProportionCoeSet2                      5         3         1      100 
427   IntegralCoeSet2                      100        20         1     1000 
428   DerivativeCoeSet2                      0         1         0     1000 
449   ReturnValveManualVoltSet               0        80         0      100 
454   ReturnPressureSwitchSet                1         0         0        1 
455   IndoorWDSDMigrationMarker              0       341         0    32767 
457   UserA4ValueSet                         0         5     -9999    32767 
458   IndoorAIMigrationMarker                0       330         0    32767 
484   UserA16ValueSet                        0      -146     -9999    32767 
485   UserA15ValueSet                        0      -160     -9999    32767 
486   UserA14ValueSet                        0      -162     -9999    32767 
487   UserA13ValueSet                        0      -163     -9999    32767 
488   UserA12ValueSet                        0      -161     -9999    32767 
489   UserA11ValueSet                        0      -160     -9999    32767 
490   UserA10ValueSet                        0      -163     -9999    32767 
491   UserA9ValueSet                         0      -159     -9999    32767 
492   UserA8ValueSet                         0      -164     -9999    32767 
493   UserA7ValueSet                         0       -88     -9999    32767 
494   UserA6ValueSet                         0      -170     -9999    32767 
495   UserA5ValueSet                         0       -44     -9999    32767 
496   UserA3ValueSet                         0         4     -9999    32767 
497   UserA2ValueSet                         0         3     -9999    32767 
